lat,lon,EmergencyType,Date
52.36156391,4.861188975,EMS: FALL VICTIM,11-3-2017
52.34825231,4.873826902,EMS: DIZZINESS,12-3-2017
52.3661129,4.879113795,Fire: CARBON MONOXIDE DETECTOR,11-3-2017
52.36420301,4.871225045,EMS: SUBJECT IN PAIN,14-3-2017
52.38158767,4.871141827,EMS: ALTERED MENTAL STATUS,11-3-2017
52.35720505,4.84241921,EMS: CVA/STROKE,14-3-2017
52.40856704,4.889490169,Traffic: VEHICLE ACCIDENT -,14-3-2017
52.372704399999996,4.89449334,EMS: RESPIRATORY EMERGENCY,10-3-2017
52.37021945,4.88374322,EMS: CVA/STROKE,14-3-2017
52.36716974,4.874332646,Traffic: DISABLED VEHICLE -,11-3-2017
52.376934399999996,4.8857030230000005,EMS: FRACTURE,14-3-2017
52.36530893,4.864357617,EMS: HEMORRHAGING,13-3-2017
52.37871392,4.8747963610000005,EMS: CARDIAC EMERGENCY,12-3-2017
52.39376604,4.879725279,EMS: CVA/STROKE,10-3-2017
52.36092082,4.848460633,Traffic: VEHICLE ACCIDENT -,11-3-2017
52.38140514,4.8840989210000005,EMS: RESPIRATORY EMERGENCY,10-3-2017
52.40343041,4.892364883,EMS: DIZZINESS,10-3-2017
52.35611965,4.920792195,Traffic: VEHICLE ACCIDENT -,12-3-2017
52.33937018,4.880426899,Fire: VEHICLE FIRE,11-3-2017
52.34556782,4.884424791,EMS: DIZZINESS,12-3-2017
52.39246593,4.905067767,EMS: CARDIAC EMERGENCY,12-3-2017
52.34081153,4.890600516,EMS: UNKNOWN MEDICAL EMERGENCY,10-3-2017
52.37138584,4.881556618,Fire: VEHICLE ACCIDENT,14-3-2017
52.36542115,4.881362057,EMS: CARDIAC EMERGENCY,11-3-2017
52.36435713,4.866444342,Traffic: HAZARDOUS ROAD CONDITIONS -,12-3-2017
52.37839362,4.89440722,EMS: FALL VICTIM,12-3-2017
52.37132379,4.879216106,EMS: CVA/STROKE,13-3-2017
52.35152417,4.871625583,Traffic: VEHICLE FIRE -,12-3-2017
52.33639274,4.873318534,Traffic: VEHICLE ACCIDENT -,10-3-2017
52.36106384,4.876660842,EMS: CVA/STROKE,11-3-2017
52.37737091,4.904437101,Traffic: DISABLED VEHICLE -,11-3-2017
52.3569641,4.876769775,EMS: RESPIRATORY EMERGENCY,11-3-2017
52.38349557,4.8827944919999995,EMS: RESPIRATORY EMERGENCY,12-3-2017
52.35810365,4.888156266,EMS: ABDOMINAL PAINS,14-3-2017
52.36355819,4.869416333,Traffic: DISABLED VEHICLE -,14-3-2017
52.36151366,4.925405844,Fire: FIRE ALARM,14-3-2017
52.37540352,4.839216389,EMS: UNCONSCIOUS SUBJECT,10-3-2017
